codigo,municipio_nome,uf,vab_agro,vab_industria,vab_servicos,pib_per_capita,municipio_limpo,chave_merge
3512407,Cordeirópolis,SP,60273844.0,1298662354.0,1915957766.0,16355417.0,CORDEIROPOLIS,CORDEIROPOLIS_SP
3512506,Coroados,SP,63907789.0,37004816.0,68661543.0,3530373.0,COROADOS,COROADOS_SP
3512605,Coronel Macedo,SP,65678684.0,10818532.0,31399016.0,307466.0,CORONEL MACEDO,CORONEL MACEDO_SP
3512704,Corumbataí,SP,38854123.0,19007579.0,200435336.0,8473124.0,CORUMBATAI,CORUMBATAI_SP
3512803,Cosmópolis,SP,26685294.0,652548775.0,827086144.0,2825587.0,COSMOPOLIS,COSMOPOLIS_SP
3512902,Cosmorama,SP,86572891.0,139844676.0,145772939.0,6953067.0,COSMORAMA,COSMORAMA_SP
3513009,Cotia,SP,31267793.0,3684979104.0,7573010285.0,6248658.0,COTIA,COTIA_SP
3513108,Cravinhos,SP,65544974.0,463804461.0,745529014.0,4889109.0,CRAVINHOS,CRAVINHOS_SP
3513207,Cristais Paulista,SP,154882564.0,23523988.0,107863405.0,3936907.0,CRISTAIS PAULISTA,CRISTAIS PAULISTA_SP
3513306,Cruzália,SP,23109825.0,5099345.0,76365574.0,6811676.0,CRUZALIA,CRUZALIA_SP
3513405,Cruzeiro,SP,12249688.0,964748265.0,1342170473.0,3839041.0,CRUZEIRO,CRUZEIRO_SP
3513504,Cubatão,SP,1326057.0,124654197.0,5836351934.0,1656075.0,CUBATAO,CUBATAO_SP
3513603,Cunha,SP,46491364.0,1569585.0,150424248.0,1526984.0,CUNHA,CUNHA_SP
3513702,Descalvado,SP,15476439.0,606766077.0,817834082.0,6103651.0,DESCALVADO,DESCALVADO_SP
3513801,Diadema,SP,1127148.0,5202146679.0,7914093828.0,4303191.0,DIADEMA,DIADEMA_SP
3513850,Dirce Reis,SP,93899.0,21193812.0,18683787.0,3868519.0,DIRCE REIS,DIRCE REIS_SP
3513900,Divinolândia,SP,164414276.0,18570639.0,232712139.0,4456855.0,DIVINOLANDIA,DIVINOLANDIA_SP
3514007,Dobrada,SP,1506078.0,2085594.0,47907212.0,1528682.0,DOBRADA,DOBRADA_SP
3514106,Dois Córregos,SP,111840072.0,150386967.0,343848172.0,3015085.0,DOIS CORREGOS,DOIS CORREGOS_SP
3514205,Dolcinópolis,SP,17233571.0,2883359.0,20071677.0,2796337.0,DOLCINOPOLIS,DOLCINOPOLIS_SP
3514304,Dourado,SP,28552622.0,314882638.0,2317338.0,9031849.0,DOURADO,DOURADO_SP
3514403,Dracena,SP,5374588.0,200347816.0,865879916.0,3055762.0,DRACENA,DRACENA_SP
3514502,Duartina,SP,16210505.0,27923342.0,130967207.0,2033859.0,DUARTINA,DUARTINA_SP
3514601,Dumont,SP,2920902.0,58643683.0,154247591.0,3364769.0,DUMONT,DUMONT_SP
3514700,Echaporã,SP,34664062.0,7770564.0,66839921.0,2529564.0,ECHAPORA,ECHAPORA_SP
3514809,Eldorado,SP,146214404.0,12950934.0,86045306.0,2112295.0,ELDORADO,ELDORADO_SP
3514908,Elias Fausto,SP,101618804.0,371413346.0,300563399.0,5552114.0,ELIAS FAUSTO,ELIAS FAUSTO_SP
3514924,Elisiário,SP,15319978.0,2722802.0,29479387.0,2032357.0,ELISIARIO,ELISIARIO_SP
3514957,Embaúba,SP,1155223.0,6253928.0,19026534.0,2338521.0,EMBAUBA,EMBAUBA_SP
3515004,Embu das Artes,SP,397817.0,1790455934.0,8506889409.0,5125886.0,EMBU DAS ARTES,EMBU DAS ARTES_SP
3515103,Embu-Guaçu,SP,275721.0,279476507.0,59036295.0,2068301.0,EMBU-GUACU,EMBU-GUACU_SP
3515129,Emilianópolis,SP,25690611.0,5697494.0,22514839.0,2445177.0,EMILIANOPOLIS,EMILIANOPOLIS_SP
3515152,Engenheiro Coelho,SP,48387995.0,130542389.0,301599581.0,3044644.0,ENGENHEIRO COELHO,ENGENHEIRO COELHO_SP
3515186,Espírito Santo do Pinhal,SP,174806062.0,570660663.0,907642998.0,4631165.0,ESPIRITO SANTO DO PINHAL,ESPIRITO SANTO DO PINHAL_SP
3515194,Espírito Santo do Turvo,SP,24141225.0,4027772.0,30170034.0,1863023.0,ESPIRITO SANTO DO TURVO,ESPIRITO SANTO DO TURVO_SP
3515202,Estrela d'Oeste,SP,47013073.0,322398642.0,252573626.0,894605.0,ESTRELA D'OESTE,ESTRELA D'OESTE_SP
3515301,Estrela do Norte,SP,19267693.0,2896191.0,16302326.0,2251133.0,ESTRELA DO NORTE,ESTRELA DO NORTE_SP
3515350,Euclides da Cunha Paulista,SP,3591163.0,6392352.0,42975678.0,1470888.0,EUCLIDES DA CUNHA PAULISTA,EUCLIDES DA CUNHA PAULISTA_SP
3515400,Fartura,SP,97585466.0,53953657.0,214081615.0,2941947.0,FARTURA,FARTURA_SP
3515509,Fernandópolis,SP,83864046.0,383335299.0,1461339829.0,3543006.0,FERNANDOPOLIS,FERNANDOPOLIS_SP
3515608,Fernando Prestes,SP,61991458.0,25277382.0,70717318.0,3541665.0,FERNANDO PRESTES,FERNANDO PRESTES_SP
3515657,Fernão,SP,3621335.0,3402017.0,2317442.0,465521.0,FERNAO,FERNAO_SP
3515707,Ferraz de Vasconcelos,SP,3345067.0,1554618945.0,1877666314.0,2386313.0,FERRAZ DE VASCONCELOS,FERRAZ DE VASCONCELOS_SP
3515806,Flora Rica,SP,16114754.0,1695894.0,10249123.0,3017619.0,FLORA RICA,FLORA RICA_SP
3515905,Floreal,SP,29772115.0,4783238.0,24273516.0,2839324.0,FLOREAL,FLOREAL_SP
3516002,Flórida Paulista,SP,53191975.0,26834159.0,103218827.0,1773175.0,FLORIDA PAULISTA,FLORIDA PAULISTA_SP
3516101,Florínea,SP,35659459.0,4959845.0,89442547.0,6535484.0,FLORINEA,FLORINEA_SP
3516200,Franca,SP,159928808.0,1608561476.0,6913824261.0,314501.0,FRANCA,FRANCA_SP
3516309,Francisco Morato,SP,657915.0,127499056.0,988959398.0,1043901.0,FRANCISCO MORATO,FRANCISCO MORATO_SP
3516408,Franco da Rocha,SP,4528066.0,1336799082.0,187136784.0,2712651.0,FRANCO DA ROCHA,FRANCO DA ROCHA_SP
3516507,Gabriel Monteiro,SP,28442691.0,16276463.0,26511248.0,3375537.0,GABRIEL MONTEIRO,GABRIEL MONTEIRO_SP
3516606,Gália,SP,50283365.0,11685908.0,67199592.0,2690752.0,GALIA,GALIA_SP
3516705,Garça,SP,123187009.0,217931225.0,1045772679.0,3883112.0,GARCA,GARCA_SP
3516804,Gastão Vidigal,SP,21817456.0,4534497.0,31816826.0,174767.0,GASTAO VIDIGAL,GASTAO VIDIGAL_SP
3516853,Gavião Peixoto,SP,47791742.0,739454245.0,197164038.0,24461579.0,GAVIAO PEIXOTO,GAVIAO PEIXOTO_SP
3516903,General Salgado,SP,55733829.0,12628317.0,135424323.0,2534309.0,GENERAL SALGADO,GENERAL SALGADO_SP
3517000,Getulina,SP,74848338.0,6035606.0,73131432.0,1880606.0,GETULINA,GETULINA_SP
3517109,Glicério,SP,32201396.0,17461264.0,39801549.0,2588065.0,GLICERIO,GLICERIO_SP
3517208,Guaiçara,SP,28038137.0,32268427.0,83097326.0,1870497.0,GUAICARA,GUAICARA_SP
3517307,Guaimbê,SP,26372233.0,34966816.0,33408804.0,7629381.0,GUAIMBE,GUAIMBE_SP
3517406,Guaíra,SP,262394707.0,911598262.0,1011424379.0,6551959.0,GUAIRA,GUAIRA_SP
3517505,Guapiaçu,SP,68217484.0,284893638.0,343739707.0,4058565.0,GUAPIACU,GUAPIACU_SP
3517604,Guapiara,SP,186970175.0,50975556.0,97990356.0,2598908.0,GUAPIARA,GUAPIARA_SP
3517703,Guará,SP,54094026.0,101736603.0,298764004.0,2889621.0,GUARA,GUARA_SP
3517802,Guaraçaí,SP,151152556.0,14884404.0,99408666.0,395461.0,GUARACAI,GUARACAI_SP
3517901,Guaraci,SP,89255008.0,74477799.0,110723041.0,3298654.0,GUARACI,GUARACI_SP
3518008,Guarani d'Oeste,SP,6343309.0,2916658.0,11395893.0,1855687.0,GUARANI D'OESTE,GUARANI D'OESTE_SP
3518107,Guarantã,SP,64115506.0,22445503.0,60246439.0,2936705.0,GUARANTA,GUARANTA_SP
3518206,Guararapes,SP,234718728.0,231377231.0,483626647.0,3607294.0,GUARARAPES,GUARARAPES_SP
3518305,Guararema,SP,5097923.0,37082715.0,751161711.0,5077109.0,GUARAREMA,GUARAREMA_SP
3518404,Guaratinguetá,SP,4962711.0,2657654269.0,3075538379.0,639480.0,GUARATINGUETA,GUARATINGUETA_SP
3518503,Guareí,SP,74506453.0,52384565.0,83287362.0,1630018.0,GUAREI,GUAREI_SP
3518602,Guariba,SP,68503907.0,250885216.0,512977842.0,2778309.0,GUARIBA,GUARIBA_SP
3518701,Guarujá,SP,50432474.0,1150370014.0,597618825.0,3229229.0,GUARUJA,GUARUJA_SP
3518800,Guarulhos,SP,57763458.0,17040799785.0,40037133405.0,5508419.0,GUARULHOS,GUARULHOS_SP
3518859,Guatapará,SP,87618689.0,13970958.0,74247527.0,3161894.0,GUATAPARA,GUATAPARA_SP
3518909,Guzolândia,SP,23193226.0,5722325.0,31713387.0,1750562.0,GUZOLANDIA,GUZOLANDIA_SP
3519006,Herculândia,SP,87683163.0,73605696.0,118033875.0,368904.0,HERCULANDIA,HERCULANDIA_SP
3519055,Holambra,SP,509243385.0,228721833.0,49874564.0,9377773.0,HOLAMBRA,HOLAMBRA_SP
3519071,Hortolândia,SP,1574644.0,5178931114.0,8314851018.0,773575.0,HORTOLANDIA,HORTOLANDIA_SP
3519105,Iacanga,SP,73945092.0,4827872.0,379964829.0,5482502.0,IACANGA,IACANGA_SP
3519204,Iacri,SP,99988374.0,27681229.0,127935424.0,5053365.0,IACRI,IACRI_SP
3519253,Iaras,SP,42584054.0,10675133.0,56934427.0,1726162.0,IARAS,IARAS_SP
3519303,Ibaté,SP,50894146.0,407365102.0,422490184.0,3235427.0,IBATE,IBATE_SP
3519402,Ibirá,SP,48698129.0,62072376.0,126892359.0,2517021.0,IBIRA,IBIRA_SP
3519501,Ibirarema,SP,4077607.0,28914675.0,109952565.0,3086228.0,IBIRAREMA,IBIRAREMA_SP
3519600,Ibitinga,SP,103103807.0,407690466.0,994118846.0,3213774.0,IBITINGA,IBITINGA_SP
3519709,Ibiúna,SP,457846327.0,391626046.0,904426913.0,2960937.0,IBIUNA,IBIUNA_SP
3519808,Icém,SP,3044217.0,46755084.0,74123631.0,250256.0,ICEM,ICEM_SP
3519907,Iepê,SP,83572809.0,13880299.0,222617793.0,5278996.0,IEPE,IEPE_SP
3520004,Igaraçu do Tietê,SP,15879572.0,23366218.0,202869944.0,1535734.0,IGARACU DO TIETE,IGARACU DO TIETE_SP
3520103,Igarapava,SP,58077579.0,16327534.0,780396081.0,4220835.0,IGARAPAVA,IGARAPAVA_SP
3520202,Igaratá,SP,2694457.0,2455935.0,128599513.0,2493671.0,IGARATA,IGARATA_SP
3520301,Iguape,SP,102580484.0,800549085.0,49757256.0,5105314.0,IGUAPE,IGUAPE_SP
3520400,Ilhabela,SP,4355183.0,9689118052.0,3816794074.0,38560585.0,ILHABELA,ILHABELA_SP
3520426,Ilha Comprida,SP,5569439.0,847859843.0,397962489.0,1180368.0,ILHA COMPRIDA,ILHA COMPRIDA_SP
3520442,Ilha Solteira,SP,73083216.0,39867795.0,408260417.0,2626181.0,ILHA SOLTEIRA,ILHA SOLTEIRA_SP
3520509,Indaiatuba,SP,46618663.0,6772161333.0,9716238747.0,8752586.0,INDAIATUBA,INDAIATUBA_SP
3520608,Indiana,SP,1800603.0,3921954.0,33369854.0,1784696.0,INDIANA,INDIANA_SP
3520707,Indiaporã,SP,27338074.0,5859752.0,48191812.0,2866434.0,INDIAPORA,INDIAPORA_SP
3520806,Inúbia Paulista,SP,9787826.0,7679618.0,81553699.0,3379008.0,INUBIA PAULISTA,INUBIA PAULISTA_SP
3520905,Ipaussu,SP,3704784.0,123713003.0,210477649.0,3291122.0,IPAUSSU,IPAUSSU_SP
3521002,Iperó,SP,21813286.0,308392806.0,333669815.0,250108.0,IPERO,IPERO_SP
3521101,Ipeúna,SP,24395317.0,486813768.0,272643298.0,12115437.0,IPEUNA,IPEUNA_SP
3521150,Ipiguá,SP,19588334.0,24359218.0,39831129.0,2236076.0,IPIGUA,IPIGUA_SP
3521200,Iporanga,SP,7278938.0,2987449.0,22229423.0,1518167.0,IPORANGA,IPORANGA_SP
3521309,Ipuã,SP,75494416.0,409634.0,203006802.0,263615.0,IPUA,IPUA_SP
3521408,Iracemápolis,SP,2255637.0,714975253.0,749838887.0,8517834.0,IRACEMAPOLIS,IRACEMAPOLIS_SP
3521507,Irapuã,SP,73483694.0,9689122.0,59246677.0,2298771.0,IRAPUA,IRAPUA_SP
3521606,Irapuru,SP,2181573.0,2638134.0,44503456.0,1311575.0,IRAPURU,IRAPURU_SP
3521705,Itaberá,SP,304163077.0,34937953.0,485005752.0,5838087.0,ITABERA,ITABERA_SP
3521804,Itaí,SP,301407217.0,683597.0,347177372.0,3347194.0,ITAI,ITAI_SP
3521903,Itajobi,SP,195824674.0,238575004.0,333653222.0,6100188.0,ITAJOBI,ITAJOBI_SP
3522000,Itaju,SP,45850604.0,79572071.0,59660515.0,5899327.0,ITAJU,ITAJU_SP
3522109,Itanhaém,SP,65653361.0,15989115.0,1451541931.0,2270486.0,ITANHAEM,ITANHAEM_SP
3522158,Itaoca,SP,9352341.0,6907746.0,15328072.0,1600998.0,ITAOCA,ITAOCA_SP
3522208,Itapecerica da Serra,SP,26749485.0,767377049.0,2720393811.0,2733858.0,ITAPECERICA DA SERRA,ITAPECERICA DA SERRA_SP
3522307,Itapetininga,SP,411249541.0,13949425.0,3095970818.0,3805801.0,ITAPETININGA,ITAPETININGA_SP
3522406,Itapeva,SP,991508663.0,477193322.0,1560789808.0,3978321.0,ITAPEVA,ITAPEVA_SP
3522505,Itapevi,SP,364666.0,1967818035.0,7477096427.0,5265614.0,ITAPEVI,ITAPEVI_SP
3522604,Itapira,SP,76928681.0,192295326.0,1743951181.0,6284544.0,ITAPIRA,ITAPIRA_SP
3522653,Itapirapuã Paulista,SP,3028786.0,2864271.0,19853768.0,1224737.0,ITAPIRAPUA PAULISTA,ITAPIRAPUA PAULISTA_SP
3522703,Itápolis,SP,157620108.0,31590516.0,784293487.0,3745911.0,ITAPOLIS,ITAPOLIS_SP
3522802,Itaporanga,SP,65058739.0,12969588.0,142140633.0,2010359.0,ITAPORANGA,ITAPORANGA_SP
3522901,Itapuí,SP,2346757.0,30083691.0,466055325.0,7020557.0,ITAPUI,ITAPUI_SP
3523008,Itapura,SP,35615413.0,4324714.0,30535108.0,2095066.0,ITAPURA,ITAPURA_SP
3523107,Itaquaquecetuba,SP,15805816.0,235174561.0,4428777879.0,2511229.0,ITAQUAQUECETUBA,ITAQUAQUECETUBA_SP
3523206,Itararé,SP,172774078.0,118452578.0,580730102.0,2328615.0,ITARARE,ITARARE_SP
3523305,Itariri,SP,109346831.0,13139103.0,204462196.0,2472572.0,ITARIRI,ITARIRI_SP
3523404,Itatiba,SP,840129835.0,2385197969.0,2904492795.0,6636002.0,ITATIBA,ITATIBA_SP
3523503,Itatinga,SP,47195842.0,58661719.0,162822867.0,1876435.0,ITATINGA,ITATINGA_SP
3523602,Itirapina,SP,97283467.0,25753988.0,382847624.0,6841396.0,ITIRAPINA,ITIRAPINA_SP
3523701,Itirapuã,SP,73242756.0,9458206.0,41938037.0,2456881.0,ITIRAPUA,ITIRAPUA_SP
3523800,Itobi,SP,65156294.0,17152859.0,71342018.0,2523099.0,ITOBI,ITOBI_SP
3523909,Itu,SP,61727529.0,2778956096.0,4851515989.0,5950219.0,ITU,ITU_SP
3524006,Itupeva,SP,90568245.0,2380931761.0,3601852833.0,13093858.0,ITUPEVA,ITUPEVA_SP
3524105,Ituverava,SP,124876142.0,500864603.0,801006844.0,4513105.0,ITUVERAVA,ITUVERAVA_SP
3524204,Jaborandi,SP,5349219.0,8042021.0,49075616.0,2201321.0,JABORANDI,JABORANDI_SP
3524303,Jaboticabal,SP,247869658.0,697109406.0,1831272797.0,4615186.0,JABOTICABAL,JABOTICABAL_SP
3524402,Jacareí,SP,38511705.0,5091965759.0,6611049404.0,6781613.0,JACAREI,JACAREI_SP
3524501,Jaci,SP,32379736.0,290062665.0,221721283.0,9243487.0,JACI,JACI_SP
3524600,Jacupiranga,SP,12264856.0,30011007.0,253282227.0,2965156.0,JACUPIRANGA,JACUPIRANGA_SP
3524709,Jaguariúna,SP,20779595.0,3759802801.0,6870415167.0,23332891.0,JAGUARIUNA,JAGUARIUNA_SP
3524808,Jales,SP,88022246.0,355472671.0,1139428481.0,4021272.0,JALES,JALES_SP
3524907,Jambeiro,SP,12071354.0,112580984.0,96688358.0,5168483.0,JAMBEIRO,JAMBEIRO_SP
3525003,Jandira,SP,729331.0,1244034616.0,224618048.0,3842642.0,JANDIRA,JANDIRA_SP
3525102,Jardinópolis,SP,100311166.0,227269233.0,825790259.0,3470842.0,JARDINOPOLIS,JARDINOPOLIS_SP
3525201,Jarinu,SP,55015372.0,565116712.0,1683142428.0,9615371.0,JARINU,JARINU_SP
3525300,Jaú,SP,125734564.0,87827738.0,3302757538.0,3637616.0,JAU,JAU_SP
3525409,Jeriquara,SP,97912801.0,9837269.0,34950275.0,5375036.0,JERIQUARA,JERIQUARA_SP
3525508,Joanópolis,SP,25635617.0,13741125.0,141279273.0,1944233.0,JOANOPOLIS,JOANOPOLIS_SP
3525607,João Ramalho,SP,84115008.0,2976951.0,33336969.0,3248314.0,JOAO RAMALHO,JOAO RAMALHO_SP
3525706,José Bonifácio,SP,166490548.0,272609518.0,626318305.0,3664442.0,JOSE BONIFACIO,JOSE BONIFACIO_SP
3525805,Júlio Mesquita,SP,9938735.0,1690562.0,20852077.0,1219796.0,JULIO MESQUITA,JULIO MESQUITA_SP
3525854,Jumirim,SP,18361669.0,86777174.0,55533029.0,6172471.0,JUMIRIM,JUMIRIM_SP
3525904,Jundiaí,SP,185537439.0,1170044369.0,29583739418.0,1350812.0,JUNDIAI,JUNDIAI_SP
3526001,Junqueirópolis,SP,73462948.0,177594526.0,380557884.0,3851078.0,JUNQUEIROPOLIS,JUNQUEIROPOLIS_SP
3526100,Juquiá,SP,8932404.0,21741048.0,148761986.0,1967356.0,JUQUIA,JUQUIA_SP
3526209,Juquitiba,SP,1252926.0,78290446.0,306244897.0,1802529.0,JUQUITIBA,JUQUITIBA_SP
3526308,Lagoinha,SP,11329111.0,3547553.0,30228134.0,1515097.0,LAGOINHA,LAGOINHA_SP
3526407,Laranjal Paulista,SP,40153573.0,509863048.0,502218974.0,4857992.0,LARANJAL PAULISTA,LARANJAL PAULISTA_SP
3526506,Lavínia,SP,69549161.0,4258765.0,50632822.0,1469645.0,LAVINIA,LAVINIA_SP
3526605,Lavrinhas,SP,5803588.0,22491291.0,50203183.0,1811128.0,LAVRINHAS,LAVRINHAS_SP
3526704,Leme,SP,111181589.0,983962352.0,1929158941.0,3896409.0,LEME,LEME_SP
3526803,Lençóis Paulista,SP,97655088.0,1872223387.0,1952286818.0,7081858.0,LENCOIS PAULISTA,LENCOIS PAULISTA_SP
3526902,Limeira,SP,113031059.0,4846073774.0,7194792767.0,5167831.0,LIMEIRA,LIMEIRA_SP
3527009,Lindóia,SP,9518671.0,76442616.0,91644672.0,3001814.0,LINDOIA,LINDOIA_SP
3527108,Lins,SP,70627343.0,308944083.0,2421186445.0,8564271.0,LINS,LINS_SP
3527207,Lorena,SP,18505743.0,131699555.0,17022244.0,4329919.0,LORENA,LORENA_SP
3527256,Lourdes,SP,8581456.0,1979826.0,14230276.0,1881834.0,LOURDES,LOURDES_SP
3527306,Louveira,SP,37358866.0,5764020101.0,9636000876.0,38577353.0,LOUVEIRA,LOUVEIRA_SP
3527405,Lucélia,SP,35246051.0,142852412.0,243594022.0,2653125.0,LUCELIA,LUCELIA_SP
3527504,Lucianópolis,SP,26831011.0,2953541.0,19569077.0,292145.0,LUCIANOPOLIS,LUCIANOPOLIS_SP
3527603,Luís Antônio,SP,90672033.0,872248358.0,332391495.0,9960369.0,LUIS ANTONIO,LUIS ANTONIO_SP
3527702,Luiziânia,SP,25156373.0,4672184.0,32076789.0,1585142.0,LUIZIANIA,LUIZIANIA_SP
3527801,Lupércio,SP,19870025.0,15263583.0,32156673.0,2134047.0,LUPERCIO,LUPERCIO_SP
3527900,Lutécia,SP,50510647.0,6703815.0,21320834.0,3857153.0,LUTECIA,LUTECIA_SP
3528007,Macatuba,SP,33949897.0,82702954.0,364670144.0,3729264.0,MACATUBA,MACATUBA_SP
