UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO TRATOR,CAMINHONETE,CAMIONETA,CHASSI PLATAF,CICLOMOTOR,MICRO-ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI-REBOQUE,SIDE-CAR,OUTROS,TRATOR ESTEI,TRATOR RODAS,TRICICLO,UTILITARIO,municipio_limpo,uf_limpa,chave_merge,DIESEL,FLEX
PR,CARLOPOLIS,12673,6155,0,434,42,1619,402,0,14,50,2520,723,114,0,366,57,1,19,0,0,14,143,CARLOPOLIS,PR,CARLOPOLIS_PR,1342.0,4788.0
PR,CASCAVEL,306870,169177,0,9977,5445,28820,14037,0,477,664,41945,11516,1375,2,7084,8039,11,1765,9,78,46,6403,CASCAVEL,PR,CASCAVEL_PR,31205.0,128643.0
PR,CASTRO,57185,30438,0,2591,1134,7136,2448,0,28,353,7762,834,573,0,1318,1596,3,182,1,22,28,738,CASTRO,PR,CASTRO_PR,7701.0,22528.0
PR,CATANDUVAS,6764,3690,0,347,42,903,212,0,4,31,1082,109,71,1,116,50,0,24,0,0,0,82,CATANDUVAS,PR,CATANDUVAS_PR,903.0,2315.0
PR,CENTENARIO DO SUL,8034,4276,0,213,79,662,198,0,13,35,1528,476,99,0,243,135,1,25,0,0,8,43,CENTENARIO DO SUL,PR,CENTENARIO DO SUL_PR,714.0,2857.0
PR,CERRO AZUL,10988,4150,0,805,12,1386,303,0,9,56,3162,835,87,0,78,20,0,27,0,0,8,50,CERRO AZUL,PR,CERRO AZUL_PR,1518.0,3932.0
PR,CEU AZUL,10068,4876,0,456,491,1122,367,0,9,30,1286,469,61,0,169,564,1,52,0,0,12,103,CEU AZUL,PR,CEU AZUL_PR,1621.0,3353.0
PR,CHOPINZINHO,17834,9637,0,874,293,2376,644,0,2,64,2041,610,127,0,342,467,10,60,0,1,3,283,CHOPINZINHO,PR,CHOPINZINHO_PR,2502.0,6343.0
PR,CIANORTE,75730,34311,0,2039,862,6733,2201,0,188,119,14423,10199,274,0,1999,1187,4,309,1,27,26,828,CIANORTE,PR,CIANORTE_PR,6120.0,30040.0
PR,CIDADE GAUCHA,9004,4225,0,344,108,729,200,0,4,29,1747,912,118,0,315,182,1,16,0,2,2,70,CIDADE GAUCHA,PR,CIDADE GAUCHA_PR,957.0,3302.0
PR,CLEVELANDIA,13152,7608,0,769,323,1649,480,0,7,64,1138,215,57,0,172,462,3,68,0,1,5,131,CLEVELANDIA,PR,CLEVELANDIA_PR,2064.0,3756.0
PR,COLOMBO,173489,102788,0,4921,1895,13119,6215,0,150,446,30535,4525,764,2,3520,2116,4,698,0,59,49,1683,COLOMBO,PR,COLOMBO_PR,13811.0,75831.0
PR,COLORADO,21245,9943,0,602,435,1985,568,0,41,96,3472,1971,209,0,862,794,1,57,0,8,7,194,COLORADO,PR,COLORADO_PR,2176.0,8230.0
PR,CONGONHINHAS,5496,2991,0,242,61,647,141,0,4,18,1068,76,55,0,73,79,0,11,0,1,3,26,CONGONHINHAS,PR,CONGONHINHAS_PR,669.0,1710.0
PR,CONSELHEIRO MAIRINCK,2310,1386,0,65,2,251,68,0,0,10,395,37,22,0,48,5,0,4,0,0,1,16,CONSELHEIRO MAIRINCK,PR,CONSELHEIRO MAIRINCK_PR,196.0,882.0
PR,CONTENDA,14410,8036,0,961,170,1600,537,0,5,48,1844,247,89,0,409,311,0,45,0,3,3,102,CONTENDA,PR,CONTENDA_PR,1894.0,5334.0
PR,CORBELIA,15678,7599,0,947,356,2141,614,0,36,43,1964,597,88,0,367,564,6,70,0,0,1,285,CORBELIA,PR,CORBELIA_PR,2667.0,5394.0
PR,CORNELIO PROCOPIO,40396,20466,0,1216,230,3534,1516,0,70,162,8412,2766,152,0,708,368,0,312,0,24,20,440,CORNELIO PROCOPIO,PR,CORNELIO PROCOPIO_PR,3377.0,16140.0
PR,CORONEL DOMINGOS SOARES,3244,1669,0,230,21,514,123,0,1,19,510,23,63,0,23,25,0,4,0,0,0,19,CORONEL DOMINGOS SOARES,PR,CORONEL DOMINGOS SOARES_PR,597.0,1028.0
PR,CORONEL VIVIDA,19622,10923,0,961,246,2608,595,0,12,59,2429,668,142,0,275,341,18,100,0,6,4,235,CORONEL VIVIDA,PR,CORONEL VIVIDA_PR,2687.0,6860.0
PR,CORUMBATAI DO SUL,2851,1424,0,84,7,359,71,0,0,4,716,99,38,0,16,16,0,6,0,0,2,9,CORUMBATAI DO SUL,PR,CORUMBATAI DO SUL_PR,261.0,1001.0
PR,CRUZ MACHADO,13900,6392,0,918,74,1967,496,0,2,23,3321,187,163,0,180,91,0,38,0,1,6,41,CRUZ MACHADO,PR,CRUZ MACHADO_PR,2100.0,3990.0
PR,CRUZEIRO DO IGUACU,3294,1680,0,146,44,379,86,0,3,21,578,138,32,0,71,78,0,18,0,1,0,19,CRUZEIRO DO IGUACU,PR,CRUZEIRO DO IGUACU_PR,413.0,1149.0
PR,CRUZEIRO DO OESTE,18163,9271,0,706,169,1472,425,0,39,40,3622,1506,116,0,345,245,3,68,0,2,3,131,CRUZEIRO DO OESTE,PR,CRUZEIRO DO OESTE_PR,1627.0,6269.0
PR,CRUZEIRO DO SUL,3701,1912,0,128,42,343,91,0,5,20,609,332,24,0,97,59,0,13,0,1,0,25,CRUZEIRO DO SUL,PR,CRUZEIRO DO SUL_PR,398.0,1171.0
PR,CRUZMALTINA,1953,925,0,129,14,278,63,0,1,9,383,43,20,0,46,30,1,2,0,0,0,9,CRUZMALTINA,PR,CRUZMALTINA_PR,307.0,644.0
PR,CURITIBA,2028639,1212289,0,44151,15892,143129,113938,0,2270,4369,327924,35100,7844,32,33608,21302,23,16563,14,554,563,49074,CURITIBA,PR,CURITIBA_PR,147426.0,917554.0
PR,CURIUVA,10216,5602,0,407,136,1122,280,0,6,30,1844,241,102,0,186,161,0,20,0,2,7,70,CURIUVA,PR,CURIUVA_PR,1177.0,3860.0
PR,DIAMANTE D'OESTE,2934,1579,0,101,10,328,80,0,0,17,642,53,47,0,34,16,0,9,0,0,1,17,DIAMANTE D'OESTE,PR,DIAMANTE D'OESTE_PR,319.0,895.0
PR,DIAMANTE DO NORTE,4499,2143,0,87,40,319,112,0,3,19,918,440,42,0,239,77,1,19,0,0,0,40,DIAMANTE DO NORTE,PR,DIAMANTE DO NORTE_PR,345.0,1523.0
PR,DIAMANTE DO SUL,1919,1020,0,53,8,252,45,0,0,10,476,13,14,0,13,9,0,2,0,0,1,3,DIAMANTE DO SUL,PR,DIAMANTE DO SUL_PR,176.0,654.0
PR,DOIS VIZINHOS,41172,21553,0,1708,679,4454,1460,0,26,140,5995,2193,196,0,913,1011,1,224,1,6,12,600,DOIS VIZINHOS,PR,DOIS VIZINHOS_PR,4665.0,16362.0
PR,DOURADINA,7707,3146,0,302,155,673,189,0,3,16,1583,964,28,0,285,250,2,10,0,0,4,97,DOURADINA,PR,DOURADINA_PR,818.0,3132.0
PR,DOUTOR CAMARGO,5159,2323,0,236,70,639,108,0,20,12,939,478,61,0,106,110,0,20,0,0,0,37,DOUTOR CAMARGO,PR,DOUTOR CAMARGO_PR,737.0,1860.0
PR,DOUTOR ULYSSES,2283,1025,0,153,1,279,99,0,1,16,577,59,47,0,13,3,0,2,0,1,0,7,DOUTOR ULYSSES,PR,DOUTOR ULYSSES_PR,335.0,896.0
PR,ENEAS MARQUES,4956,2451,0,280,151,637,131,0,2,9,844,113,38,0,55,188,0,19,0,0,0,38,ENEAS MARQUES,PR,ENEAS MARQUES_PR,712.0,1862.0
PR,ENGENHEIRO BELTRAO,10648,5380,0,639,133,1218,278,0,13,37,1698,470,147,0,309,187,0,47,0,8,4,80,ENGENHEIRO BELTRAO,PR,ENGENHEIRO BELTRAO_PR,1570.0,3443.0
PR,ENTRE RIOS DO OESTE,4187,1836,0,199,78,590,158,0,0,16,603,318,18,0,167,125,0,15,0,0,0,64,ENTRE RIOS DO OESTE,PR,ENTRE RIOS DO OESTE_PR,609.0,1576.0
PR,ESPERANCA NOVA,1576,737,0,61,3,170,32,0,0,12,409,92,7,0,34,3,0,4,0,0,0,12,ESPERANCA NOVA,PR,ESPERANCA NOVA_PR,171.0,587.0
PR,ESPIGAO ALTO DO IGUACU,1994,1074,0,86,13,255,68,0,0,8,343,69,24,0,22,19,0,3,0,1,1,8,ESPIGAO ALTO DO IGUACU,PR,ESPIGAO ALTO DO IGUACU_PR,235.0,661.0
PR,FAROL,2354,1124,0,127,40,336,40,0,0,5,451,69,26,0,41,84,0,1,0,1,1,8,FAROL,PR,FAROL_PR,341.0,786.0
PR,FAXINAL,13792,7187,0,623,133,1667,440,0,20,43,2570,443,59,0,202,197,4,51,0,0,5,148,FAXINAL,PR,FAXINAL_PR,1727.0,4478.0
PR,FAZENDA RIO GRANDE,81544,52326,0,1854,970,5669,2989,0,120,125,12282,1568,389,0,1511,797,0,193,0,17,16,718,FAZENDA RIO GRANDE,PR,FAZENDA RIO GRANDE_PR,5584.0,38795.0
PR,FENIX,3264,1645,0,151,29,358,70,0,1,10,684,132,21,0,84,44,0,7,0,6,0,22,FENIX,PR,FENIX_PR,411.0,1051.0
PR,FERNANDES PINHEIRO,3529,1979,0,136,24,384,93,0,1,12,688,53,24,0,72,39,0,2,0,0,0,22,FERNANDES PINHEIRO,PR,FERNANDES PINHEIRO_PR,349.0,1381.0
PR,FIGUEIRA,5293,2895,0,172,124,550,172,0,13,15,808,202,64,0,101,118,0,7,0,0,1,51,FIGUEIRA,PR,FIGUEIRA_PR,630.0,1850.0
PR,FLOR DA SERRA DO SUL,3319,1846,0,141,78,383,89,0,0,9,484,46,35,0,57,113,0,12,0,0,0,26,FLOR DA SERRA DO SUL,PR,FLOR DA SERRA DO SUL_PR,430.0,1087.0
PR,FLORAI,4228,2000,0,196,94,462,106,0,7,12,600,406,30,0,118,153,0,15,0,0,2,27,FLORAI,PR,FLORAI_PR,576.0,1373.0
PR,FLORESTA,8192,4048,0,344,141,974,217,0,9,28,1413,501,56,0,203,140,0,20,0,3,4,91,FLORESTA,PR,FLORESTA_PR,1116.0,3398.0
PR,FLORESTOPOLIS,7517,4418,0,227,166,505,227,0,10,60,761,435,152,0,227,264,1,29,0,0,3,32,FLORESTOPOLIS,PR,FLORESTOPOLIS_PR,804.0,2453.0
PR,FLORIDA,2305,1016,0,95,20,252,64,0,3,14,294,99,24,0,373,19,0,11,0,1,0,20,FLORIDA,PR,FLORIDA_PR,284.0,727.0
PR,FORMOSA DO OESTE,7048,3365,0,364,42,905,156,0,8,19,1433,418,31,0,176,57,0,16,0,0,1,57,FORMOSA DO OESTE,PR,FORMOSA DO OESTE_PR,852.0,2496.0
