UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO TRATOR,CAMINHONETE,CAMIONETA,CHASSI PLATAF,CICLOMOTOR,MICRO-ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI-REBOQUE,SIDE-CAR,OUTROS,TRATOR ESTEI,TRATOR RODAS,TRICICLO,UTILITARIO,municipio_limpo,uf_limpa,chave_merge,DIESEL,FLEX
AC,ACRELANDIA,8654,1937,0,439,39,1003,98,0,6,14,4267,570,50,0,129,68,0,3,0,0,1,30,ACRELANDIA,AC,ACRELANDIA_AC,1113.0,3188.0
AC,ASSIS BRASIL,2556,443,0,29,1,251,22,0,5,5,1592,153,6,0,36,6,0,0,0,0,0,7,ASSIS BRASIL,AC,ASSIS BRASIL_AC,209.0,1223.0
AC,BRASILEIA,14467,3173,0,389,388,2061,199,0,8,18,6219,1072,26,0,239,604,0,6,0,0,3,62,BRASILEIA,AC,BRASILEIA_AC,1924.0,5794.0
AC,BUJARI,3536,884,0,156,60,473,26,0,9,6,1637,130,18,0,58,70,0,2,0,0,1,6,BUJARI,AC,BUJARI_AC,574.0,1463.0
AC,CAPIXABA,3475,954,0,99,10,391,29,0,12,3,1701,168,22,0,56,21,0,0,0,0,0,9,CAPIXABA,AC,CAPIXABA_AC,339.0,1421.0
AC,CRUZEIRO DO SUL,47991,9147,0,844,182,4342,663,0,45,63,21838,9946,90,0,164,370,0,53,0,0,17,227,CRUZEIRO DO SUL,AC,CRUZEIRO DO SUL_AC,3244.0,24558.0
AC,EPITACIOLANDIA,9175,2510,0,351,109,1382,172,0,7,15,3367,866,24,0,163,170,0,3,0,0,3,33,EPITACIOLANDIA,AC,EPITACIOLANDIA_AC,1201.0,3999.0
AC,FEIJO,6140,866,0,116,5,454,57,0,65,6,3487,973,10,0,43,12,0,4,0,0,26,16,FEIJO,AC,FEIJO_AC,395.0,3367.0
AC,JORDAO,287,22,0,6,0,40,2,0,0,2,154,59,1,0,1,0,0,0,0,0,0,0,JORDAO,AC,JORDAO_AC,28.0,169.0
AC,MANCIO LIMA,5171,891,0,99,6,432,40,0,4,5,2855,786,23,0,6,6,0,2,0,0,0,16,MANCIO LIMA,AC,MANCIO LIMA_AC,335.0,2412.0
AC,MANOEL URBANO,1955,345,0,56,1,248,17,0,3,2,1025,206,6,0,37,3,0,0,0,0,0,6,MANOEL URBANO,AC,MANOEL URBANO_AC,195.0,1063.0
AC,MARECHAL THAUMATURGO,687,20,0,13,0,51,1,0,1,0,493,98,7,0,0,0,0,0,0,0,2,1,MARECHAL THAUMATURGO,AC,MARECHAL THAUMATURGO_AC,36.0,380.0
AC,PLACIDO DE CASTRO,6477,1746,0,166,16,648,87,0,11,9,3002,583,28,0,117,34,2,4,0,0,6,18,PLACIDO DE CASTRO,AC,PLACIDO DE CASTRO_AC,609.0,2639.0
AC,PORTO ACRE,5586,1208,0,178,9,687,62,0,13,5,3055,231,45,0,68,12,0,6,0,0,1,6,PORTO ACRE,AC,PORTO ACRE_AC,662.0,2200.0
AC,PORTO WALTER,656,16,0,12,0,58,1,0,1,1,455,105,6,0,0,0,0,0,0,0,0,1,PORTO WALTER,AC,PORTO WALTER_AC,50.0,384.0
AC,RIO BRANCO,234337,79480,0,4729,714,20537,5607,0,938,404,92631,19790,993,0,4728,1310,24,353,0,3,145,1951,RIO BRANCO,AC,RIO BRANCO_AC,20544.0,107237.0
AC,RODRIGUES ALVES,2761,305,0,38,1,201,19,0,2,4,1665,503,12,0,2,0,0,0,0,0,0,9,RODRIGUES ALVES,AC,RODRIGUES ALVES_AC,135.0,1483.0
AC,SANTA ROSA DO PURUS,321,20,0,7,0,32,3,0,0,0,216,35,3,0,5,0,0,0,0,0,0,0,SANTA ROSA DO PURUS,AC,SANTA ROSA DO PURUS_AC,33.0,143.0
AC,SENA MADUREIRA,13229,2125,0,151,20,1328,137,0,41,5,6792,2391,12,0,131,34,0,3,0,0,2,57,SENA MADUREIRA,AC,SENA MADUREIRA_AC,1080.0,6662.0
AC,SENADOR GUIOMARD,9361,2816,0,361,84,936,135,0,34,14,3838,718,43,0,232,106,1,4,0,0,3,36,SENADOR GUIOMARD,AC,SENADOR GUIOMARD_AC,1028.0,3996.0
AC,TARAUACA,7447,852,0,174,27,613,75,0,10,15,3627,1904,18,0,38,54,0,0,0,0,10,30,TARAUACA,AC,TARAUACA_AC,596.0,4001.0
AC,XAPURI,6198,972,0,107,9,599,63,0,6,4,3836,482,12,0,62,21,1,1,0,0,3,20,XAPURI,AC,XAPURI_AC,549.0,2844.0
AL,AGUA BRANCA,6608,1472,0,166,7,567,119,0,17,136,3770,231,38,0,55,12,0,6,0,1,0,11,AGUA BRANCA,AL,AGUA BRANCA_AL,823.0,2750.0
AL,ANADIA,4117,1461,0,74,3,245,112,0,9,38,1717,273,57,0,105,3,0,0,0,0,0,20,ANADIA,AL,ANADIA_AL,258.0,1909.0
AL,ARAPIRACA,155097,45791,0,3611,647,8936,3898,0,2134,551,61506,20534,804,0,3675,887,9,41,0,3,43,2027,ARAPIRACA,AL,ARAPIRACA_AL,9970.0,71347.0
AL,ATALAIA,10602,4963,0,273,13,398,235,0,178,58,3169,416,203,0,592,33,0,4,0,0,2,65,ATALAIA,AL,ATALAIA_AL,709.0,4370.0
AL,BARRA DE SANTO ANTONIO,3876,1426,0,47,5,174,69,0,291,17,1438,191,47,0,127,15,0,1,0,0,0,28,BARRA DE SANTO ANTONIO,AL,BARRA DE SANTO ANTONIO_AL,187.0,1749.0
AL,BARRA DE SAO MIGUEL,3190,1222,0,32,2,201,98,0,320,6,977,124,19,0,109,2,0,2,0,0,2,74,BARRA DE SAO MIGUEL,AL,BARRA DE SAO MIGUEL_AL,162.0,1419.0
AL,BATALHA,5661,1667,0,179,8,393,101,0,5,49,2713,361,33,0,109,14,0,1,0,0,1,27,BATALHA,AL,BATALHA_AL,441.0,2276.0
AL,BELEM,1677,445,0,16,0,93,29,0,6,16,953,47,10,0,53,0,0,1,0,0,0,8,BELEM,AL,BELEM_AL,76.0,681.0
AL,BELO MONTE,1223,264,0,41,3,108,14,0,1,16,721,24,9,0,10,4,0,0,0,0,0,8,BELO MONTE,AL,BELO MONTE_AL,103.0,568.0
AL,BOCA DA MATA,7774,2301,0,218,26,382,128,0,21,93,3350,832,116,0,224,57,0,0,0,1,3,22,BOCA DA MATA,AL,BOCA DA MATA_AL,571.0,3192.0
AL,BRANQUINHA,2254,616,0,34,0,123,30,0,21,24,1244,62,33,0,54,7,0,1,0,0,0,5,BRANQUINHA,AL,BRANQUINHA_AL,141.0,890.0
AL,CACIMBINHAS,3174,883,0,99,0,192,45,0,9,44,1728,84,19,0,65,0,0,0,0,0,0,6,CACIMBINHAS,AL,CACIMBINHAS_AL,257.0,1245.0
AL,CAJUEIRO,4275,1350,0,104,1,153,87,0,29,15,1996,307,54,0,151,7,0,2,0,0,1,18,CAJUEIRO,AL,CAJUEIRO_AL,230.0,1838.0
AL,CAMPESTRE,884,386,0,53,8,64,30,0,0,53,203,32,13,0,26,10,0,0,0,1,1,4,CAMPESTRE,AL,CAMPESTRE_AL,153.0,387.0
AL,CAMPO ALEGRE,7599,2493,0,202,82,399,100,0,73,124,2696,770,204,0,277,130,0,19,0,0,2,28,CAMPO ALEGRE,AL,CAMPO ALEGRE_AL,746.0,3725.0
AL,CAMPO GRANDE,3575,722,0,50,1,194,37,0,6,17,2316,159,22,0,32,2,0,1,0,0,0,16,CAMPO GRANDE,AL,CAMPO GRANDE_AL,135.0,1818.0
AL,CANAPI,4310,1112,0,113,3,320,53,0,8,110,2356,117,28,0,60,8,0,4,0,0,1,17,CANAPI,AL,CANAPI_AL,432.0,1544.0
AL,CAPELA,3024,1068,0,67,4,173,61,0,45,11,1253,126,78,0,119,6,0,1,0,1,0,11,CAPELA,AL,CAPELA_AL,241.0,1346.0
AL,CARNEIROS,2023,524,0,50,1,113,29,0,1,20,1173,35,21,0,38,9,0,1,0,0,1,7,CARNEIROS,AL,CARNEIROS_AL,153.0,776.0
AL,CHA PRETA,1889,415,0,30,1,151,22,0,3,16,1162,32,10,0,33,3,0,0,0,0,0,11,CHA PRETA,AL,CHA PRETA_AL,117.0,814.0
AL,COITE DO NOIA,4206,915,0,99,4,228,39,0,4,8,2598,215,34,0,36,4,0,0,0,0,4,18,COITE DO NOIA,AL,COITE DO NOIA_AL,207.0,1992.0
AL,COLONIA LEOPOLDINA,2905,1082,0,131,6,215,93,0,6,42,1115,98,51,0,44,4,0,1,0,2,0,15,COLONIA LEOPOLDINA,AL,COLONIA LEOPOLDINA_AL,337.0,1424.0
AL,COQUEIRO SECO,1648,630,0,17,1,68,24,0,64,4,744,44,8,0,39,0,0,0,0,1,0,4,COQUEIRO SECO,AL,COQUEIRO SECO_AL,51.0,757.0
AL,CORURIPE,19961,5602,0,387,57,1308,372,0,193,96,8353,2143,329,0,864,126,0,6,0,4,1,120,CORURIPE,AL,CORURIPE_AL,1326.0,9774.0
AL,CRAIBAS,9893,2644,0,229,16,653,144,0,37,68,4979,868,65,0,132,25,0,0,0,0,0,33,CRAIBAS,AL,CRAIBAS_AL,626.0,4838.0
AL,DELMIRO GOUVEIA,30405,10328,0,1545,64,2046,672,0,392,545,11837,2037,188,0,419,136,0,13,0,3,11,169,DELMIRO GOUVEIA,AL,DELMIRO GOUVEIA_AL,3600.0,11743.0
AL,DOIS RIACHOS,4234,941,0,137,15,216,72,0,1,27,2549,101,28,0,99,27,1,0,0,6,0,14,DOIS RIACHOS,AL,DOIS RIACHOS_AL,316.0,1590.0
AL,ESTRELA DE ALAGOAS,5143,1409,0,72,1,332,51,0,20,118,2872,122,29,0,95,0,0,2,0,1,0,19,ESTRELA DE ALAGOAS,AL,ESTRELA DE ALAGOAS_AL,363.0,2218.0
AL,FEIRA GRANDE,7670,1459,0,121,19,528,79,0,12,11,4443,846,52,0,59,17,1,0,0,0,0,23,FEIRA GRANDE,AL,FEIRA GRANDE_AL,376.0,3706.0
AL,FELIZ DESERTO,940,352,0,18,0,85,17,0,7,6,363,45,8,0,34,0,0,0,0,0,0,5,FELIZ DESERTO,AL,FELIZ DESERTO_AL,70.0,447.0
AL,FLEXEIRAS,2292,918,0,46,0,126,52,0,15,23,906,58,55,0,80,0,0,0,0,0,1,12,FLEXEIRAS,AL,FLEXEIRAS_AL,182.0,909.0
AL,GIRAU DO PONCIANO,14842,3955,0,260,11,733,229,0,36,106,8191,979,130,0,145,15,0,3,0,0,1,48,GIRAU DO PONCIANO,AL,GIRAU DO PONCIANO_AL,752.0,7217.0
AL,IBATEGUARA,3591,989,0,66,2,221,59,0,5,76,1865,186,39,0,60,4,0,0,0,0,0,19,IBATEGUARA,AL,IBATEGUARA_AL,284.0,1363.0
AL,IGACI,8430,2236,0,164,2,553,105,0,10,122,4570,473,49,0,118,4,0,1,0,1,0,22,IGACI,AL,IGACI_AL,561.0,4092.0
AL,IGREJA NOVA,6875,1376,0,69,8,233,66,0,31,35,4370,400,137,0,115,22,0,1,0,0,0,12,IGREJA NOVA,AL,IGREJA NOVA_AL,318.0,3223.0
AL,INHAPI,6082,1250,0,103,10,396,86,0,2,62,3713,359,16,0,69,7,0,0,0,0,0,9,INHAPI,AL,INHAPI_AL,423.0,2576.0
AL,JACARE DOS HOMENS,1401,448,0,34,3,80,22,0,1,12,716,32,19,0,28,4,0,0,0,0,0,2,JACARE DOS HOMENS,AL,JACARE DOS HOMENS_AL,114.0,553.0
AL,JACUIPE,1029,338,0,17,1,64,46,0,1,19,473,17,24,0,20,0,0,0,0,0,1,8,JACUIPE,AL,JACUIPE_AL,91.0,455.0
AL,JAPARATINGA,2565,988,0,41,0,124,77,0,49,19,1041,112,18,0,55,1,0,1,0,0,0,39,JAPARATINGA,AL,JAPARATINGA_AL,151.0,1223.0
AL,JARAMATAIA,1322,498,0,27,1,105,23,0,0,18,571,49,7,0,19,1,0,0,0,0,0,3,JARAMATAIA,AL,JARAMATAIA_AL,88.0,663.0
AL,JEQUIA DA PRAIA,1961,592,0,41,4,128,25,0,19,8,955,67,49,0,66,0,0,0,0,0,0,7,JEQUIA DA PRAIA,AL,JEQUIA DA PRAIA_AL,134.0,1066.0
AL,JOAQUIM GOMES,3913,1279,0,130,16,263,78,0,20,39,1778,72,103,0,114,8,0,0,0,0,1,12,JOAQUIM GOMES,AL,JOAQUIM GOMES_AL,444.0,1519.0
AL,JUNDIA,966,367,0,26,1,74,22,0,0,7,404,29,14,0,18,4,0,0,0,0,0,0,JUNDIA,AL,JUNDIA_AL,77.0,418.0
AL,JUNQUEIRO,9589,2396,0,297,105,645,131,0,26,48,4158,1099,151,0,293,175,3,0,0,0,0,62,JUNQUEIRO,AL,JUNQUEIRO_AL,822.0,4595.0
AL,LAGOA DA CANOA,7644,1830,0,123,6,368,91,0,24,38,4336,642,55,0,83,6,0,0,0,0,1,41,LAGOA DA CANOA,AL,LAGOA DA CANOA_AL,342.0,3422.0
AL,LIMOEIRO DE ANADIA,8118,1883,0,203,12,557,119,0,30,41,4073,922,103,0,143,7,0,0,0,0,2,23,LIMOEIRO DE ANADIA,AL,LIMOEIRO DE ANADIA_AL,506.0,3967.0
AL,MACEIO,444414,215923,0,9433,1535,28888,20404,0,10745,1554,113156,12410,2824,0,12981,2214,12,405,0,88,167,11675,MACEIO,AL,MACEIO_AL,33804.0,224180.0
AL,MAJOR ISIDORO,5065,1366,0,134,32,346,63,0,2,33,2743,131,42,0,111,40,0,0,0,0,0,22,MAJOR ISIDORO,AL,MAJOR ISIDORO_AL,390.0,1938.0
AL,MAR VERMELHO,1236,306,0,16,2,67,11,0,2,3,766,30,9,0,20,2,0,0,0,0,0,2,MAR VERMELHO,AL,MAR VERMELHO_AL,50.0,553.0
AL,MARAGOGI,7289,2843,0,136,0,544,233,0,142,180,2488,400,75,0,150,2,0,3,0,0,6,87,MARAGOGI,AL,MARAGOGI_AL,641.0,3477.0
AL,MARAVILHA,3167,816,0,99,4,187,49,0,2,76,1805,56,9,0,50,3,0,0,0,0,0,11,MARAVILHA,AL,MARAVILHA_AL,281.0,1106.0
AL,MARECHAL DEODORO,20723,8940,0,519,67,1221,769,0,1402,112,5252,750,226,0,858,99,0,8,0,1,17,482,MARECHAL DEODORO,AL,MARECHAL DEODORO_AL,1569.0,10094.0
AL,MARIBONDO,3998,1428,0,87,5,303,69,0,33,16,1662,120,21,0,218,4,0,0,0,0,0,32,MARIBONDO,AL,MARIBONDO_AL,262.0,1741.0
AL,MATA GRANDE,6163,1342,0,83,4,575,102,0,1,90,3702,147,28,0,73,3,0,1,0,1,0,11,MATA GRANDE,AL,MATA GRANDE_AL,624.0,2541.0
AL,MATRIZ DE CAMARAGIBE,6154,2144,0,181,4,374,155,0,181,49,2324,248,194,0,238,8,0,4,0,0,2,48,MATRIZ DE CAMARAGIBE,AL,MATRIZ DE CAMARAGIBE_AL,594.0,2604.0
AL,MESSIAS,4044,1491,0,80,11,185,114,0,94,54,1577,167,130,0,96,15,0,3,0,0,0,27,MESSIAS,AL,MESSIAS_AL,352.0,1778.0
AL,MINADOR DO NEGRAO,1976,531,0,66,0,149,16,0,0,14,1128,27,9,0,30,0,0,0,0,1,0,5,MINADOR DO NEGRAO,AL,MINADOR DO NEGRAO_AL,158.0,933.0
AL,MONTEIROPOLIS,1768,467,0,33,1,124,11,0,0,14,1036,42,8,0,22,2,0,0,0,1,0,7,MONTEIROPOLIS,AL,MONTEIROPOLIS_AL,122.0,732.0
AL,MURICI,7307,1976,0,243,20,336,150,0,109,34,3514,532,150,0,186,15,0,2,0,2,2,36,MURICI,AL,MURICI_AL,609.0,2869.0
AL,NOVO LINO,2504,1147,0,119,12,143,63,0,7,42,783,44,78,0,53,4,0,0,0,1,0,8,NOVO LINO,AL,NOVO LINO_AL,328.0,1010.0
AL,OLHO D'AGUA DAS FLORES,7627,2196,0,238,18,555,125,0,10,78,3773,294,62,0,189,44,0,0,0,0,0,45,OLHO D'AGUA DAS FLORES,AL,OLHO D'AGUA DAS FLORES_AL,661.0,2777.0
AL,OLHO D'AGUA DO CASADO,2503,825,0,49,1,147,22,0,8,28,1306,70,13,0,30,1,0,0,0,0,0,3,OLHO D'AGUA DO CASADO,AL,OLHO D'AGUA DO CASADO_AL,174.0,1061.0
AL,OLHO D'AGUA GRANDE,1536,341,0,16,0,67,10,0,1,3,996,78,11,0,11,0,0,0,0,0,0,2,OLHO D'AGUA GRANDE,AL,OLHO D'AGUA GRANDE_AL,57.0,908.0
AL,OLIVENCA,3155,804,0,60,0,150,38,0,2,38,1915,72,17,0,47,0,0,1,0,0,0,11,OLIVENCA,AL,OLIVENCA_AL,199.0,1187.0
AL,OURO BRANCO,4211,1175,0,208,28,285,69,0,0,82,2084,86,53,0,102,29,0,0,0,0,0,10,OURO BRANCO,AL,OURO BRANCO_AL,527.0,1386.0
AL,PALESTINA,783,266,0,14,1,54,16,0,1,21,365,19,5,0,15,0,0,0,0,1,0,5,PALESTINA,AL,PALESTINA_AL,79.0,323.0
AL,PALMEIRA DOS INDIOS,33824,10737,0,777,78,2167,771,0,137,392,15269,2178,107,0,830,120,6,8,0,2,2,243,PALMEIRA DOS INDIOS,AL,PALMEIRA DOS INDIOS_AL,2452.0,15404.0
AL,PAO DE ACUCAR,5005,1419,0,110,7,280,69,0,4,106,2542,293,34,0,85,26,0,6,0,0,3,21,PAO DE ACUCAR,AL,PAO DE ACUCAR_AL,419.0,2293.0
AL,PARICONHA,3316,728,0,41,0,239,28,0,7,71,2075,76,12,0,29,0,0,0,0,0,1,9,PARICONHA,AL,PARICONHA_AL,302.0,1445.0
AL,PARIPUEIRA,4250,1648,0,94,8,274,146,0,273,12,1327,203,24,0,163,11,0,1,0,0,0,66,PARIPUEIRA,AL,PARIPUEIRA_AL,289.0,2004.0
AL,PASSO DE CAMARAGIBE,3235,1053,0,48,0,145,53,0,256,16,1407,120,36,0,89,0,0,0,0,0,1,11,PASSO DE CAMARAGIBE,AL,PASSO DE CAMARAGIBE_AL,156.0,1574.0
AL,PAULO JACINTO,1802,440,0,23,1,115,21,0,8,14,1090,41,11,0,27,4,0,0,0,0,0,7,PAULO JACINTO,AL,PAULO JACINTO_AL,110.0,767.0
AL,PENEDO,25769,7716,0,384,38,1354,575,0,582,96,11005,2806,408,0,601,45,2,10,0,0,7,140,PENEDO,AL,PENEDO_AL,1392.0,12481.0
AL,PIACABUCU,3332,1012,0,36,1,261,76,0,84,22,1307,359,21,0,129,1,0,0,0,0,3,20,PIACABUCU,AL,PIACABUCU_AL,164.0,1730.0
AL,PILAR,12224,4758,0,240,42,549,262,0,420,65,3664,1440,203,0,447,45,0,1,0,4,2,82,PILAR,AL,PILAR_AL,783.0,5732.0
AL,PINDOBA,589,141,0,5,1,40,8,0,0,1,358,8,4,0,19,2,0,0,0,0,0,2,PINDOBA,AL,PINDOBA_AL,26.0,295.0
AL,PIRANHAS,8085,2089,0,110,4,448,100,0,5,121,4584,447,20,0,104,4,0,1,0,1,2,45,PIRANHAS,AL,PIRANHAS_AL,508.0,3365.0
AL,POCO DAS TRINCHEIRAS,4066,995,0,100,8,260,46,0,0,86,2380,72,26,0,68,11,0,1,0,0,0,13,POCO DAS TRINCHEIRAS,AL,POCO DAS TRINCHEIRAS_AL,338.0,1582.0
AL,PORTO CALVO,8400,2645,0,340,13,377,205,0,65,141,3599,564,122,0,249,16,0,2,0,0,4,58,PORTO CALVO,AL,PORTO CALVO_AL,785.0,3705.0
AL,PORTO DE PEDRAS,2492,778,0,35,1,127,53,0,124,19,1087,165,10,0,68,0,0,0,0,0,1,24,PORTO DE PEDRAS,AL,PORTO DE PEDRAS_AL,132.0,1128.0
AL,PORTO REAL DO COLEGIO,4098,1081,0,65,5,215,55,0,13,42,2238,247,42,0,67,14,0,2,0,1,0,11,PORTO REAL DO COLEGIO,AL,PORTO REAL DO COLEGIO_AL,222.0,2225.0
AL,QUEBRANGULO,3010,747,0,42,2,205,64,0,5,24,1743,88,26,0,45,1,0,0,0,0,3,15,QUEBRANGULO,AL,QUEBRANGULO_AL,209.0,1346.0
AL,RIO LARGO,26675,11448,0,678,213,1379,671,0,1056,275,8616,728,343,0,794,283,1,2,0,0,10,178,RIO LARGO,AL,RIO LARGO_AL,2074.0,12956.0
AL,ROTEIRO,1548,580,0,22,6,77,47,0,24,28,650,41,16,0,49,1,0,0,0,1,0,6,ROTEIRO,AL,ROTEIRO_AL,99.0,681.0
AL,SANTA LUZIA DO NORTE,1829,788,0,31,0,93,41,0,61,6,653,42,46,0,59,1,0,0,0,0,0,8,SANTA LUZIA DO NORTE,AL,SANTA LUZIA DO NORTE_AL,116.0,841.0
AL,SANTANA DO IPANEMA,27561,6940,0,1069,47,1570,380,0,27,427,14935,1058,109,0,627,183,0,13,0,1,12,163,SANTANA DO IPANEMA,AL,SANTANA DO IPANEMA_AL,2532.0,11314.0
AL,SANTANA DO MUNDAU,3895,696,0,85,6,222,48,0,6,26,2538,172,15,0,62,6,0,0,0,0,0,13,SANTANA DO MUNDAU,AL,SANTANA DO MUNDAU_AL,229.0,1433.0
AL,SAO BRAS,791,211,0,8,0,45,19,0,1,3,447,39,10,0,5,0,0,0,0,0,1,2,SAO BRAS,AL,SAO BRAS_AL,35.0,435.0
AL,SAO JOSE DA LAJE,5719,1686,0,158,2,279,145,0,33,72,2585,437,98,0,165,1,0,0,0,0,3,55,SAO JOSE DA LAJE,AL,SAO JOSE DA LAJE_AL,465.0,2538.0
AL,SAO JOSE DA TAPERA,7068,2294,0,163,8,381,136,0,6,102,3440,291,56,0,155,8,0,0,0,0,3,25,SAO JOSE DA TAPERA,AL,SAO JOSE DA TAPERA_AL,535.0,2782.0
AL,SAO LUIS DO QUITUNDE,7537,2615,0,331,15,362,138,0,189,51,2763,340,286,0,355,61,1,0,0,0,0,30,SAO LUIS DO QUITUNDE,AL,SAO LUIS DO QUITUNDE_AL,857.0,3308.0
AL,SAO MIGUEL DOS CAMPOS,22484,7041,0,424,150,843,443,0,159,195,9457,2291,290,0,688,318,0,5,0,2,2,176,SAO MIGUEL DOS CAMPOS,AL,SAO MIGUEL DOS CAMPOS_AL,1395.0,10651.0
AL,SAO MIGUEL DOS MILAGRES,3146,1056,0,55,1,207,76,0,186,11,1182,262,8,0,68,2,0,1,0,0,1,30,SAO MIGUEL DOS MILAGRES,AL,SAO MIGUEL DOS MILAGRES_AL,181.0,1418.0
AL,SAO SEBASTIAO,12505,2932,0,349,77,712,117,0,62,59,6127,1319,271,0,322,99,0,1,0,1,2,55,SAO SEBASTIAO,AL,SAO SEBASTIAO_AL,973.0,6125.0
AL,SATUBA,7572,3444,0,149,47,455,225,0,188,39,2400,249,30,0,228,42,0,0,0,1,1,74,SATUBA,AL,SATUBA_AL,460.0,4218.0
AL,SENADOR RUI PALMEIRA,3137,790,0,80,0,230,44,0,3,43,1775,70,25,0,44,18,0,1,0,1,0,13,SENADOR RUI PALMEIRA,AL,SENADOR RUI PALMEIRA_AL,280.0,1235.0
AL,TANQUE D'ARCA,1994,539,0,25,1,89,29,0,6,18,1170,43,13,0,54,1,0,0,0,0,0,6,TANQUE D'ARCA,AL,TANQUE D'ARCA_AL,91.0,892.0
AL,TAQUARANA,7891,1805,0,139,11,473,77,0,26,102,4626,389,56,0,149,13,0,0,0,0,0,25,TAQUARANA,AL,TAQUARANA_AL,470.0,3617.0
AL,TEOTONIO VILELA,12809,3607,0,252,65,617,154,0,241,85,5629,1366,266,0,354,101,0,2,0,0,3,67,TEOTONIO VILELA,AL,TEOTONIO VILELA_AL,915.0,5827.0
AL,TRAIPU,5546,1168,0,119,2,290,66,0,3,41,3536,196,48,0,51,0,0,0,0,1,1,24,TRAIPU,AL,TRAIPU_AL,316.0,2862.0
AL,UNIAO DOS PALMARES,25731,6562,0,650,49,1348,516,0,337,333,13353,1554,294,0,490,55,0,13,0,1,3,173,UNIAO DOS PALMARES,AL,UNIAO DOS PALMARES_AL,2041.0,9835.0
AL,VICOSA,8320,2287,0,156,10,478,158,0,35,26,4607,261,58,0,178,20,2,3,0,0,0,41,VICOSA,AL,VICOSA_AL,461.0,3392.0
AM,ALVARAES,1132,24,0,20,0,50,1,0,0,0,728,279,8,0,0,0,0,0,0,0,22,0,ALVARAES,AM,ALVARAES_AM,47.0,631.0
AM,AMATURA,443,6,0,9,0,19,4,0,0,1,266,132,2,0,3,0,0,0,0,0,1,0,AMATURA,AM,AMATURA_AM,21.0,174.0
AM,ANAMA,341,13,0,0,0,10,1,0,2,1,230,75,5,0,1,0,0,0,0,0,3,0,ANAMA,AM,ANAMA_AM,9.0,211.0
AM,ANORI,1035,29,0,21,4,46,6,0,0,2,677,245,2,0,0,1,0,0,0,0,2,0,ANORI,AM,ANORI_AM,47.0,579.0
AM,APUI,6387,690,0,337,23,1105,48,0,0,6,3178,851,42,0,39,41,0,0,0,0,4,23,APUI,AM,APUI_AM,1159.0,2736.0
AM,ATALAIA DO NORTE,872,27,0,7,0,39,5,0,0,2,449,337,5,0,0,0,0,0,0,0,0,1,ATALAIA DO NORTE,AM,ATALAIA DO NORTE_AM,36.0,368.0
AM,AUTAZES,3742,378,0,75,1,217,48,0,4,14,2111,814,39,0,4,6,0,0,0,0,28,3,AUTAZES,AM,AUTAZES_AM,211.0,1691.0
AM,BARCELOS,1577,129,0,18,0,69,26,0,1,5,897,415,1,0,2,1,0,0,0,0,10,3,BARCELOS,AM,BARCELOS_AM,44.0,738.0
AM,BARREIRINHA,1226,22,0,9,0,24,5,0,0,1,785,365,6,0,0,1,0,0,0,0,8,0,BARREIRINHA,AM,BARREIRINHA_AM,25.0,661.0
AM,BENJAMIN CONSTANT,2916,99,0,26,1,72,20,0,0,6,1426,1252,4,0,0,3,0,0,0,0,5,2,BENJAMIN CONSTANT,AM,BENJAMIN CONSTANT_AM,63.0,1242.0
AM,BERURI,926,30,0,14,0,42,4,0,0,0,581,251,0,0,0,2,0,0,0,0,1,1,BERURI,AM,BERURI_AM,26.0,514.0
AM,BOA VISTA DO RAMOS,948,18,0,6,0,24,4,0,3,0,660,225,2,0,0,0,0,0,0,0,6,0,BOA VISTA DO RAMOS,AM,BOA VISTA DO RAMOS_AM,12.0,559.0
AM,BOCA DO ACRE,5397,768,0,94,13,336,36,0,1,10,3048,1003,15,0,23,36,0,1,0,0,9,4,BOCA DO ACRE,AM,BOCA DO ACRE_AM,323.0,2954.0
AM,BORBA,1482,77,0,31,1,76,15,0,1,0,858,409,6,0,0,1,0,0,0,0,7,0,BORBA,AM,BORBA_AM,59.0,681.0
AM,CAAPIRANGA,490,29,0,9,0,37,2,0,0,1,232,167,8,0,0,1,0,0,0,0,4,0,CAAPIRANGA,AM,CAAPIRANGA_AM,32.0,283.0
AM,CANUTAMA,672,29,0,7,0,34,2,0,0,0,389,199,2,0,0,0,0,0,0,0,10,0,CANUTAMA,AM,CANUTAMA_AM,19.0,422.0
AM,CARAUARI,3795,139,0,59,1,120,21,0,0,2,2394,1006,5,0,6,0,0,0,0,0,38,4,CARAUARI,AM,CARAUARI_AM,124.0,1957.0
AM,CAREIRO,4295,766,0,118,5,445,179,0,5,75,2075,401,133,0,17,10,0,1,0,0,53,12,CAREIRO,AM,CAREIRO_AM,486.0,1980.0
AM,CAREIRO DA VARZEA,690,156,0,33,2,65,43,0,3,26,234,55,52,0,1,0,0,1,0,0,19,0,CAREIRO DA VARZEA,AM,CAREIRO DA VARZEA_AM,126.0,336.0
AM,COARI,15196,817,0,154,8,444,106,0,10,6,9332,4211,19,0,9,2,0,3,0,0,59,16,COARI,AM,COARI_AM,336.0,6819.0
