chave_merge,uf,municipio_limpo,extensao_total_km,km_pavimentado,km_terra,presenca_rodovia_federal
TRES LAGOAS_MS,MS,TRES LAGOAS,690.9,690.9,0.0,1
UBERLANDIA_MG,MG,UBERLANDIA,915.7,915.7,0.0,1
URUACU_GO,GO,URUACU,752.4,752.4,0.0,1
URUGUAIANA_RS,RS,URUGUAIANA,699.5,699.5,0.0,1
VACARIA_RS,RS,VACARIA,445.3,445.3,0.0,1
VITORIA DA CONQUISTA_BA,BA,VITORIA DA CONQUISTA,1008.9,1008.9,0.0,1
VITORIA_ES,ES,VITORIA,1119.7,1119.7,0.0,1
_AC,AC,,471.7,0.2,471.5,1
_AL,AL,,76.7,3.8,72.9,1
_AM,AM,,3992.8,88.7,3904.1,1
_AP,AP,,178.0,0.0,178.0,1
_BA,BA,,4423.1,38.400000000000006,4384.7,1
_CE,CE,,1352.4,0.0,1352.4,1
_DF,DF,,154.9,0.0,154.9,1
_ES,ES,,632.3000000000001,0.0,632.3000000000001,1
_GO,GO,,2738.4,0.0,2738.4,1
_MA,MA,,819.6,0.0,819.6,1
_MG,MG,,9624.9,10.9,9614.0,1
_MS,MS,,574.8,0.0,574.8,1
_MT,MT,,1774.3999999999999,0.0,1774.3999999999999,1
_PA,PA,,3572.8,62.5,3510.3,1
_PB,PB,,624.7,15.2,609.5,1
_PE,PE,,747.7,0.0,747.7,1
_PI,PI,,2061.1,0.0,2061.1,1
_PR,PR,,2662.6,15.8,2646.8,1
_RJ,RJ,,850.9,0.0,850.9,1
_RN,RN,,275.8,43.6,232.2,1
_RO,RO,,295.9,0.0,295.9,1
_RR,RR,,308.5,0.0,308.5,1
_RS,RS,,3205.6,5.7,3199.9,1
_SC,SC,,1399.3,1.2,1398.1,1
_SE,SE,,144.2,0.0,144.2,1
_SP,SP,,5609.4,0.0,5609.4,1
_TO,TO,,674.2,1.9,672.3,1
